state,Children 0-18,Adults 19-25,Adults 26-34,Adults 35-54,Adults 55-64,65+,year,Total People Experiencing Homelessness,gdp,American Indian or Alaska Native,Asian or Pacific Islander,Black or African American,White,gini,international_migration,unemployment_rate
Washington,0.25,0.091,0.123,0.285,0.128,0.124,2010,22878,365497.8,148450,591545,313343,5689671,0.44,6084,0.099
West Virginia,0.223,0.084,0.106,0.279,0.147,0.162,2010,2264,65998.7,4130,14398,71552,1764185,0.45,124,0.084
Wisconsin,0.249,0.091,0.112,0.286,0.127,0.135,2010,6333,256432.9,67872,142719,395812,5084135,0.43,1244,0.085
Wyoming,0.259,0.094,0.121,0.272,0.131,0.124,2010,579,37680.7,15816,5771,7069,535875,0.42,219,0.07
Alabama,0.251,0.094,0.112,0.274,0.129,0.14,2011,5558,183916.6,35697,67196,1288707,3408042,0.47,5162,0.087
Alaska,0.278,0.102,0.126,0.282,0.13,0.083,2011,2128,56896.3,122230,53630,32700,513789,0.41,1442,0.076
Arizona,0.266,0.095,0.117,0.259,0.119,0.144,2011,10504,260915.7,365246,236036,326863,5545271,0.46,17104,0.094
Arkansas,0.257,0.089,0.117,0.266,0.127,0.145,2011,3424,105768.1,29648,50464,470981,2389945,0.47,4010,0.079
California,0.262,0.102,0.127,0.279,0.114,0.117,2011,125128,2023500.0,746596,5670008,2740917,28478790,0.48,96569,0.118
Colorado,0.254,0.094,0.13,0.285,0.125,0.112,2011,15116,267516.1,95113,179154,252870,4594763,0.46,13093,0.086
Connecticut,0.241,0.08,0.107,0.298,0.132,0.142,2011,4456,233158.7,20654,157521,422892,2987565,0.49,13189,0.089
Delaware,0.243,0.087,0.114,0.278,0.13,0.148,2011,1035,61372.2,6610,33248,208931,658801,0.44,1675,0.074
District of Columbia,0.187,0.116,0.204,0.266,0.113,0.115,2011,6546,109730.4,4170,26015,321885,268220,,2666,
Florida,0.224,0.09,0.107,0.272,0.13,0.177,2011,56687,755240.0,101738,561703,3258188,15133978,0.48,102343,0.103
Georgia,0.273,0.094,0.121,0.287,0.116,0.11,2011,20975,431653.9,54411,369599,3124114,6255506,0.48,12560,0.099
Hawaii,0.24,0.085,0.119,0.27,0.136,0.152,2011,6188,69083.9,6107,921362,36268,415825,0.43,7437,0.065
Idaho,0.283,0.094,0.118,0.256,0.121,0.128,2011,2199,56941.1,30635,27027,16102,1510508,0.43,1813,0.083
Illinois,0.256,0.092,0.124,0.28,0.121,0.126,2011,14009,692880.8,86708,668130,1969635,10143310,0.47,30893,0.097
Indiana,0.262,0.091,0.114,0.276,0.127,0.13,2011,6196,291356.1,29357,127108,653888,5706897,0.45,9401,0.09
Iowa,0.251,0.089,0.119,0.264,0.131,0.147,2011,3134,148477.6,16006,65475,111811,2873480,0.43,6447,0.059
Kansas,0.269,0.096,0.115,0.265,0.124,0.131,2011,2511,136358.9,41055,81952,198574,2548096,0.44,5133,0.065
Kentucky,0.25,0.088,0.116,0.28,0.131,0.135,2011,6034,171586.9,12951,60738,372027,3925101,0.47,5548,0.095
Louisiana,0.263,0.1,0.122,0.266,0.124,0.125,2011,9291,229945.0,36798,83024,1505164,2951258,0.48,7235,0.073
Maine,0.214,0.076,0.1,0.293,0.153,0.163,2011,2447,52575.5,10541,15886,20807,1281239,0.45,1265,0.077
Maryland,0.246,0.09,0.119,0.293,0.127,0.125,2011,10208,326281.2,36939,369147,1811405,3622750,0.45,21160,0.073
Massachusetts,0.23,0.089,0.117,0.294,0.131,0.138,2011,16664,425523.0,36040,401302,558462,5618414,0.48,34360,0.073
Michigan,0.246,0.095,0.106,0.28,0.134,0.14,2011,13185,404554.7,86373,279024,1485327,8032329,0.46,22175,0.104
Minnesota,0.254,0.088,0.123,0.28,0.125,0.129,2011,7495,287039.3,79665,244600,324926,4697429,0.44,12203,0.065
Mississippi,0.271,0.095,0.112,0.269,0.124,0.13,2011,2306,96218.0,17717,31615,1123666,1806149,0.47,2450,0.105
